,word,fr
0,test1,0.2
1,в,0.03241103962899087
2,-,0.02113081228097734
3,и,0.021008769635790178
4,на,0.015098418676011837
5,не,0.015080984012413671
6,при,0.011088446048433611
7,с,0.010617710131283124
8,по,0.009222937043429828
9,г,0.005805742978189254
10,см,0.005701134996600256
11,от,0.0053175723974406
12,сердца,0.005090921770664439
13,л,0.004184319263559797
14,нет,0.0040797112819708
15,%,0.0033125860836515017
16,миокарда,0.00327771675645517
17,области,0.0032602820928570044
18,боли,0.0031905434384643413
19,ст,0.002998762138884518
20,мм,0.0029638928116881864
21,к,0.0028941541572955233
22,линии,0.002754676848510197
23,крови,0.0024931568945377107
24,диагноз,0.002388548912948716
25,заболевания,0.0023013755949578872
26,левой,0.002231636940565224
27,ибс,0.0022142022769670584
28,экг,0.0022142022769670584
29,для,0.002179332949770727
30,артерии,0.002179332949770727
31,у,0.002161898286172561
32,артерий,0.0020747249681817323
33,за,0.0020572903045835665
34,ад,0.002022420977387235
35,пальпации,0.002004986313789069
36,до,0.0019701169865927377
37,грудной,0.0019701169865927377
38,а,0.0018829436686019089
39,больного,0.0018829436686019089
40,день,0.0018306396778074116
41,анализ,0.00179577035061108
42,*,0.0017783356870129143
43,физической,0.0017609010234147485
44,система,0.001726031696218417
45,без,0.001726031696218417
46,что,0.0016737277054239197
47,межреберье,0.0016737277054239197
48,чсс,0.0016737277054239197
49,рт,0.0016737277054239197
50,ммоль,0.0016737277054239197
51,им,0.0016737277054239197
52,пальпируется,0.0016388583782275881
53,мин,0.0016214237146294224
54,клетки,0.0016039890510312566
55,общий,0.0015516850602367593
56,ii,0.0015168157330404278
57,правой,0.001499381069442262
58,состояние,0.0014819464058440962
59,как,0.0014819464058440962
60,левого,0.0014470770786477647
61,iii,0.0013947730878532674
62,дыхания,0.0013947730878532674
63,лет,0.0013773384242551016
64,минуту,0.0013773384242551016
65,легких,0.0013773384242551016
66,мг,0.0013773384242551016
67,уровне,0.0013599037606569359
68,жалобы,0.0013250344334606043
69,над,0.0013250344334606043
70,года,0.001272730442666107
71,нагрузке,0.001272730442666107
72,тупости,0.0012552957790679413
73,ребро,0.0012378611154697755
74,дыхание,0.0012204264518716097
75,или,0.0012204264518716097
76,болезнь,0.001202991788273444
77,болезни,0.0011855571246752782
78,желудочка,0.0011681224610771124
79,повышение,0.0011681224610771124
80,границы,0.0011506877974789467
81,м,0.0011506877974789467
82,основании,0.0011506877974789467
83,заключение,0.0011506877974789467
84,из,0.0011506877974789467
85,стенокардия,0.001133253133880781
86,изменения,0.001133253133880781
87,время,0.0011158184702826151
88,аорты,0.0011158184702826151
89,боль,0.0010983838066844494
90,больной,0.0010809491430862836
91,анамнез,0.0010809491430862836
92,пальпация,0.0010809491430862836
93,i,0.0010809491430862836
94,выявлено,0.0010809491430862836
95,раза,0.0010809491430862836
96,определяется,0.0010809491430862836
97,т,0.0010635144794881178
98,мл,0.001046079815889952
99,живот,0.0010286451522917863
100,раз,0.0010286451522917863
101,обеих,0.0010286451522917863
102,ритм,0.0010112104886936205
103,стенокардии,0.0010112104886936205
104,сосудов,0.0010112104886936205
105,после,0.0009937758250954548
106,средней,0.0009937758250954548
107,v,0.0009937758250954548
108,более,0.0009937758250954548
109,s,0.0009937758250954548
110,данные,0.000976341161497289
111,грудины,0.000976341161497289
112,сторон,0.000976341161497289
113,слева,0.0009589064978991231
114,n,0.0009589064978991231
115,кожные,0.0009414718343009572
116,безболезненный,0.0009414718343009572
117,нижних,0.0009414718343009572
118,жалоб,0.0009414718343009572
119,осмотр,0.0009414718343009572
120,покровы,0.0009240371707027914
121,справа,0.0009240371707027914
122,исследования,0.0009240371707027914
123,со,0.0009240371707027914
124,сердечной,0.0009240371707027914
125,степени,0.0009240371707027914
126,органов,0.0009066025071046255
127,данных,0.0009066025071046255
128,коронарных,0.0009066025071046255
129,лечение,0.0009066025071046255
130,конечностей,0.0009066025071046255
131,характера,0.0008891678435064596
132,живота,0.0008891678435064596
133,течение,0.0008891678435064596
134,мягкий,0.0008891678435064596
135,изменений,0.0008891678435064596
136,тоны,0.0008891678435064596
137,нарушение,0.0008891678435064596
138,о,0.0008891678435064596
139,№,0.0008891678435064596
140,таблетке,0.0008891678435064596
141,стенки,0.0008717331799082937
142,перкуссия,0.0008717331799082937
143,•,0.0008717331799082937
144,недостаточность,0.0008542985163101279
145,был,0.0008542985163101279
146,полости,0.0008542985163101279
147,левую,0.0008542985163101279
148,левая,0.000836863852711962
149,отсутствуют,0.000836863852711962
150,передней,0.000836863852711962
151,tab,0.000836863852711962
152,грудиной,0.0008194291891137961
153,во,0.0008194291891137961
154,норме,0.0008194291891137961
155,напряжения,0.0008194291891137961
156,уд,0.0008194291891137961
157,граница,0.0008194291891137961
158,;,0.0008194291891137961
159,также,0.0008194291891137961
160,формы,0.0008019945255156302
161,d,0.0008019945255156302
162,является,0.0008019945255156302
163,так,0.0008019945255156302
164,дата,0.0007845598619174644
165,края,0.0007845598619174644
166,печени,0.0007845598619174644
167,отсутствует,0.0007845598619174644
168,ед,0.0007845598619174644
169,покое,0.0007845598619174644
170,его,0.0007845598619174644
171,кнаружи,0.0007845598619174644
172,тела,0.0007671251983192985
173,симптом,0.0007671251983192985
174,исследование,0.0007671251983192985
175,наличие,0.0007671251983192985
176,удовлетворительное,0.0007671251983192985
177,слабость,0.0007671251983192985
178,фк,0.0007671251983192985
179,форма,0.0007496905347211326
180,пульс,0.0007496905347211326
181,отрицательный,0.0007496905347211326
182,стеноз,0.0007496905347211326
183,шум,0.0007496905347211326
184,положение,0.0007322558711229667
185,правая,0.0007322558711229667
186,отмечается,0.0007322558711229667
187,инфаркт,0.0007322558711229667
188,увеличение,0.0007322558711229667
189,лечения,0.0007322558711229667
190,окраски,0.0007148212075248009
191,относительной,0.0007148212075248009
192,пальпируются,0.000697386543926635
193,толчок,0.000697386543926635
194,язык,0.000697386543926635
195,норма,0.000697386543926635
196,риск,0.000697386543926635
197,безболезненная,0.000697386543926635
198,сознание,0.0006799518803284691
199,нарушения,0.0006799518803284691
200,обследования,0.0006799518803284691
201,легочной,0.0006799518803284691
202,тип,0.0006625172167303032
203,одышку,0.0006625172167303032
204,умеренно,0.0006625172167303032
205,везикулярное,0.0006625172167303032
206,кишка,0.0006625172167303032
207,синусовый,0.0006625172167303032
208,белок,0.0006625172167303032
209,одышка,0.0006625172167303032
210,краю,0.0006625172167303032
211,гипертоническая,0.0006450825531321374
212,ясное,0.0006450825531321374
213,частота,0.0006450825531321374
214,осмотре,0.0006450825531321374
215,предсердий,0.0006450825531321374
216,клапана,0.0006450825531321374
217,снижение,0.0006450825531321374
218,выше,0.0006450825531321374
219,брюшной,0.0006450825531321374
220,наблюдается,0.0006450825531321374
221,«,0.0006276478895339715
222,типу,0.0006276478895339715
223,степень,0.0006276478895339715
224,место,0.0006276478895339715
225,кг,0.0006276478895339715
226,перкуссии,0.0006276478895339715
227,среднеключичной,0.0006276478895339715
228,инфаркта,0.0006276478895339715
